"Region","Year","Threshold","Area_Threshold","Total_Area","Percent_Area_Used","Total_Abundance","n_cells","Area_Efficiency"
"Region2",2000,75,5460504.89178273,36304978.4696905,15.0406504065041,40749.3455325422,37,134.00227219409
"Region2",2001,75,3394367.90570277,36304978.4696905,9.34959349593496,59553.7637554999,23,56.9966983050555
"Region2",2002,75,4279855.18545133,36304978.4696905,11.7886178861789,57744.7702720993,29,74.1167583710907
"Region2",2003,75,3099205.47911992,36304978.4696905,8.53658536585366,79043.3670343403,21,39.2089253709736
"Region2",2004,75,3689530.33228562,36304978.4696905,10.1626016260163,72313.260086615,25,51.02149077315
"Region2",2005,75,3394367.90570277,36304978.4696905,9.34959349593496,85436.3217799452,23,39.729799164874
"Region2",2006,75,2804043.05253707,36304978.4696905,7.72357723577236,129808.928598611,19,21.6013111178784
"Region2",2007,75,4427436.39874275,36304978.4696905,12.1951219512195,109112.324630327,30,40.5768680462353
"Region2",2008,75,3246786.69241135,36304978.4696905,8.94308943089431,147766.237726939,22,21.9724528576763
"Region2",2009,75,3837111.54557705,36304978.4696905,10.5691056910569,143920.699560711,26,26.6612902611581
"Region2",2010,75,1918555.77278852,36304978.4696905,5.28455284552846,290882.797262598,13,6.59563161123113
"Region2",2011,75,4427436.39874275,36304978.4696905,12.1951219512195,178278.308007877,30,24.834408898177
"Region2",2012,75,3394367.90570277,36304978.4696905,9.34959349593496,270324.130258011,23,12.5566589355638
"Region2",2013,75,4722598.8253256,36304978.4696905,13.0081300813008,200244.816262835,32,23.584125239611
"Region2",2014,75,3984692.75886847,36304978.4696905,10.9756097560976,185434.594761885,27,21.4884000689579
"Region2",2015,75,6198410.95823985,36304978.4696905,17.0731707317073,137918.283345915,42,44.9426342024103
"Region2",2016,75,5165342.46519987,36304978.4696905,14.2276422764228,189721.046361386,35,27.2259855417453
"Region2",2017,75,6345992.17153127,36304978.4696905,17.479674796748,130439.55014587,43,48.6508284062204
"Region2",2018,75,4132273.9721599,36304978.4696905,11.3821138211382,182404.31754028,28,22.6544745644377
"Region2",2019,75,6641154.59811412,36304978.4696905,18.2926829268293,116940.647829102,45,56.7908141557381
"Region2",2020,75,5165342.46519987,36304978.4696905,14.2276422764228,145772.065426678,35,35.4343779796274
"Region2",2021,75,6050829.74494842,36304978.4696905,16.6666666666667,131150.736194667,41,46.1364527604874
"Region2",2022,75,6198410.95823985,36304978.4696905,17.0731707317073,125968.041168268,42,49.2062185039459
"Region2",2023,75,5312923.6784913,36304978.4696905,14.6341463414634,135036.376277728,36,39.3443887117074
"Region1",1990,90,166382116.668892,797365143.866595,20.8664898320071,1130382.85212169,236,147.190941862395
"Region1",1991,90,157922009.04166,797365143.866595,19.8054818744474,1562601.89093942,224,101.063495415789
"Region1",1992,90,186827376.768035,797365143.866595,23.4305923961096,998483.168699922,265,187.111192881993
"Region1",1993,90,150871919.3523,797365143.866595,18.921308576481,927750.054528168,214,162.6212993639
"Region1",1994,90,170612170.482507,797365143.866595,21.3969938107869,791191.884515179,242,215.639434404783
"Region1",1995,90,141706802.756132,797365143.866595,17.7718832891247,1031428.34255104,201,137.388897425145
"Region1",1996,90,157217000.072724,797365143.866595,19.7170645446508,905715.236994574,223,173.583256249962
"Region1",1997,90,150871919.3523,797365143.866595,18.921308576481,1113933.73962527,214,135.440658618575
"Region1",1998,90,179777287.078675,797365143.866595,22.5464190981432,816477.589196851,255,220.186431884208
"Region1",1999,90,168497143.575699,797365143.866595,21.131741821397,848564.886720341,239,198.567188216958
"Region1",2000,90,186122367.799099,797365143.866595,23.342175066313,770569.299994552,264,241.538778926717
"Region1",2001,90,177662260.171867,797365143.866595,22.2811671087533,844234.818391527,252,210.441758976912
"Region1",2002,90,178367269.140803,797365143.866595,22.36958443855,844121.186940535,253,211.305286373968
"Region1",2003,90,158627018.010596,797365143.866595,19.893899204244,943819.885673059,225,168.069162791029
"Region1",2004,90,200927556.146755,797365143.866595,25.1989389920424,863544.360807944,285,232.67774681403
"Region1",2005,90,165677107.699956,797365143.866595,20.7780725022104,1263230.28925006,235,131.153526882508
"Region1",2006,90,131836677.191028,797365143.866595,16.5340406719717,1426004.06295872,187,92.4518243780381
"Region1",2007,90,195992493.364203,797365143.866595,24.580017683466,1408214.67759958,278,139.177993584251
"Region1",2008,90,203042583.053563,797365143.866595,25.4641909814324,1687381.98369319,288,120.329946044085
"Region1",2009,90,201632565.115691,797365143.866595,25.2873563218391,1902709.99388336,286,105.971254560011
"Region1",2010,90,197402511.302075,797365143.866595,24.7568523430592,2127720.07058451,280,92.7765423803356
"Region1",2011,90,232652959.748874,797365143.866595,29.1777188328912,2040863.35155233,330,113.997323520907
"Region1",2012,90,227717896.966322,797365143.866595,28.5587975243148,2400064.34493806,323,94.8799133017405
"Region1",2013,90,231242941.811002,797365143.866595,29.000884173298,2337985.24048483,328,98.9069296960357
"Region1",2014,90,219257789.33909,797365143.866595,27.4977895667551,2523149.7227068,311,86.8984457663785
"Region1",2015,90,237588022.531426,797365143.866595,29.7966401414677,2489610.79685805,337,95.4317931265671
"Region1",2016,90,224897861.090578,797365143.866595,28.2051282051282,3365729.2968477,319,66.8199493349672
"Region1",2017,90,247458148.096529,797365143.866595,31.0344827586207,2677242.75129111,351,92.4302243332965
"Region1",2018,90,260148309.537377,797365143.866595,32.6259946949602,2665279.7681575,369,97.6063798800441
"Region1",2019,90,242523085.313977,797365143.866595,30.4155614500442,2685262.85937623,344,90.3163295418738
"Region1",2020,90,303858865.611408,797365143.866595,38.1078691423519,2829700.80222148,431,107.381976699749
"Region1",2021,90,235472995.624618,797365143.866595,29.5313881520778,2219874.92933684,334,106.074893009834
"Region1",2022,90,274248488.916097,797365143.866595,34.394341290893,2492432.5911467,389,110.032459810647
"Region1",2023,90,264378363.350993,797365143.866595,33.1564986737401,2556299.8106119,375,103.422283354044
"Region2",1990,90,14758121.3291425,36304978.4696905,40.650406504065,75285.3717164741,100,196.029069029795
"Region2",1991,90,13134727.9829368,36304978.4696905,36.1788617886179,97460.0867767207,89,134.770329242865
"Region2",1992,90,13725052.8361025,36304978.4696905,37.8048780487805,76161.3163588422,93,180.210289058496
"Region2",1993,90,13429890.4095197,36304978.4696905,36.9918699186992,52493.3380592732,91,255.839900948102
"Region2",1994,90,12101659.4898968,36304978.4696905,33.3333333333333,47771.5636952137,82,253.323495272342
"Region2",1995,90,11806497.063314,36304978.4696905,32.520325203252,55390.8937591683,80,213.148701204335
"Region2",1996,90,11954078.2766054,36304978.4696905,32.9268292682927,54779.0958239345,81,218.223358688267
"Region2",1997,90,12101659.4898968,36304978.4696905,33.3333333333333,58176.0582946928,82,208.01786584776
"Region2",1998,90,11363753.4234397,36304978.4696905,31.3008130081301,57841.9439576979,77,196.462163023955
"Region2",1999,90,10773428.570274,36304978.4696905,29.6747967479675,54712.7259330929,73,196.909007667588
"Region2",2000,90,11363753.4234397,36304978.4696905,31.3008130081301,40749.3455325422,77,278.869593484997
"Region2",2001,90,8854872.7974855,36304978.4696905,24.390243902439,59553.7637554999,60,148.687039056667
"Region2",2002,90,10183103.7171083,36304978.4696905,28.0487804878049,57744.7702720993,69,176.346769917423
"Region2",2003,90,8707291.58419408,36304978.4696905,23.9837398373984,79043.3670343403,59,110.158409375593
"Region2",2004,90,8707291.58419408,36304978.4696905,23.9837398373984,72313.260086615,59,120.410718224634
"Region2",2005,90,8412129.15761122,36304978.4696905,23.1707317073171,85436.3217799452,57,98.4608066259921
"Region2",2006,90,7821804.30444552,36304978.4696905,21.5447154471545,129808.928598611,53,60.2562889077662
"Region2",2007,90,9592778.86394263,36304978.4696905,26.4227642276423,109112.324630327,65,87.9165474335098
"Region2",2008,90,8264547.9443198,36304978.4696905,22.7642276422764,147766.237726939,56,55.9298800013578
"Region2",2009,90,8854872.7974855,36304978.4696905,24.390243902439,143920.699560711,60,61.5260544488263
"Region2",2010,90,6050829.74494842,36304978.4696905,16.6666666666667,290882.797262598,41,20.8016073892674
"Region2",2011,90,9150035.22406835,36304978.4696905,25.2032520325203,178278.308007877,62,51.3244450562324
"Region2",2012,90,7969385.51773695,36304978.4696905,21.9512195121951,270324.130258011,54,29.4808514139325
"Region2",2013,90,9740360.07723405,36304978.4696905,26.8292682926829,200244.816262835,66,48.6422583066976
"Region2",2014,90,8854872.7974855,36304978.4696905,24.390243902439,185434.594761885,60,47.7520001532398
"Region2",2015,90,11216172.2101483,36304978.4696905,30.8943089430894,137918.283345915,76,81.3247666519806
"Region2",2016,90,9887941.29052548,36304978.4696905,27.2357723577236,189721.046361386,67,52.1183151799124
"Region2",2017,90,11806497.063314,36304978.4696905,32.520325203252,130439.55014587,80,90.5131691278518
"Region2",2018,90,9740360.07723405,36304978.4696905,26.8292682926829,182404.31754028,66,53.399832901889
"Region2",2019,90,12101659.4898968,36304978.4696905,33.3333333333333,116940.647829102,82,103.485483572678
"Region2",2020,90,10478266.1436912,36304978.4696905,28.8617886178862,145772.065426678,71,71.8811667586728
"Region2",2021,90,11363753.4234397,36304978.4696905,31.3008130081301,131150.736194667,77,86.6465088428666
"Region2",2022,90,11511334.6367311,36304978.4696905,31.7073170731707,125968.041168268,78,91.3829772216138
"Region2",2023,90,10773428.570274,36304978.4696905,29.6747967479675,135036.376277728,73,79.781677109851
"Region1",1990,95,230537932.842066,797365143.866595,28.9124668435013,1130382.85212169,327,203.946771139844
"Region1",1991,95,213617717.587602,797365143.866595,26.790450928382,1562601.89093942,303,136.706424602608
"Region1",1992,95,251688201.910145,797365143.866595,31.5649867374005,998483.168699922,357,252.070550410836
"Region1",1993,95,200927556.146755,797365143.866595,25.1989389920424,927750.054528168,285,216.57509494725
"Region1",1994,95,235472995.624618,797365143.866595,29.5313881520778,791191.884515179,334,297.61806236032
"Region1",1995,95,194582475.426331,797365143.866595,24.4031830238727,1031428.34255104,276,188.653411389751
"Region1",1996,95,210092672.742922,797365143.866595,26.3483642793988,905715.236994574,298,231.96327516811
"Region1",1997,95,199517538.208883,797365143.866595,25.0221043324492,1113933.73962527,283,179.110777518957
"Region1",1998,95,232652959.748874,797365143.866595,29.1777188328912,816477.589196851,330,284.94714714427
"Region1",1999,95,225602870.059514,797365143.866595,28.2935455349248,848564.886720341,320,265.864017696345
"Region1",2000,95,250278183.972273,797365143.866595,31.3881520778072,770569.299994552,355,324.796464087062
"Region1",2001,95,241113067.376106,797365143.866595,30.2387267904509,844234.818391527,342,285.599530040095
"Region1",2002,95,243933103.251849,797365143.866595,30.5923961096375,844121.186940535,346,288.978771088509
"Region1",2003,95,205862618.929306,797365143.866595,25.8178603006189,943819.885673059,292,218.116424599913
"Region1",2004,95,267903408.195673,797365143.866595,33.5985853227233,863544.360807944,380,310.236995752041
"Region1",2005,95,227012887.997386,797365143.866595,28.4703801945181,1263230.28925006,322,179.708236834755
"Region1",2006,95,174137215.327187,797365143.866595,21.8390804597701,1426004.06295872,247,122.115511344253
"Region1",2007,95,268608417.164609,797365143.866595,33.6870026525199,1408214.67759958,381,190.743940847481
"Region1",2008,95,272133462.009289,797365143.866595,34.1290893015031,1687381.98369319,386,161.275552684086
"Region1",2009,95,259443300.568441,797365143.866595,32.5375773651636,1902709.99388336,368,136.354621252042
"Region1",2010,95,256623264.692697,797365143.866595,32.183908045977,2127720.07058451,364,120.609505094436
"Region1",2011,95,293988740.046304,797365143.866595,36.8700265251989,2040863.35155233,417,144.051163358237
"Region1",2012,95,286233641.388008,797365143.866595,35.8974358974359,2400064.34493806,406,119.26081981581
"Region1",2013,95,287643659.32588,797365143.866595,36.0742705570292,2337985.24048483,408,123.030571085313
"Region1",2014,95,270723444.071417,797365143.866595,33.9522546419098,2523149.7227068,384,107.295830142409
"Region1",2015,95,288348668.294816,797365143.866595,36.1626878868258,2489610.79685805,409,115.820781569038
"Region1",2016,95,277773533.760777,797365143.866595,34.8364279398762,3365729.2968477,394,82.529968771088
"Region1",2017,95,304563874.580344,797365143.866595,38.1962864721485,2677242.75129111,432,113.760276102519
"Region1",2018,95,322894107.772679,797365143.866595,40.4951370468612,2665279.7681575,458,121.148298062494
"Region1",2019,95,301038829.735664,797365143.866595,37.7541998231653,2685262.85937623,427,112.107769518547
"Region1",2020,95,391984986.728405,797365143.866595,49.1600353669319,2829700.80222148,556,138.525241403853
"Region1",2021,95,289053677.263752,797365143.866595,36.2511052166225,2219874.92933684,410,130.211695012071
"Region1",2022,95,341929349.933951,797365143.866595,42.8824049513705,2492432.5911467,485,137.187000020987
"Region1",2023,95,325714143.648423,797365143.866595,40.8488063660477,2556299.8106119,462,127.416253092182
"Region2",1990,95,19185557.7278853,36304978.4696905,52.8455284552846,75285.3717164741,130,254.837789738734
"Region2",1991,95,17562164.3816796,36304978.4696905,48.3739837398374,97460.0867767207,119,180.198530111246
"Region2",1992,95,18152489.2348453,36304978.4696905,50,76161.3163588422,123,238.342640367689
"Region2",1993,95,18004908.0215538,36304978.4696905,49.5934959349593,52493.3380592732,122,342.994152919433
"Region2",1994,95,16086352.2487653,36304978.4696905,44.3089430894309,47771.5636952137,109,336.734890057138
"Region2",1995,95,16529095.8886396,36304978.4696905,45.5284552845528,55390.8937591683,112,298.408181686068
"Region2",1996,95,16676677.101931,36304978.4696905,45.9349593495935,54779.0958239345,113,304.43505594783
"Region2",1997,95,16676677.101931,36304978.4696905,45.9349593495935,58176.0582946928,113,286.658766351181
"Region2",1998,95,15791189.8221825,36304978.4696905,43.4959349593496,57841.9439576979,107,273.005862903418
"Region2",1999,95,15200864.9690168,36304978.4696905,41.869918699187,54712.7259330929,103,277.830517667966
"Region2",2000,95,15643608.608891,36304978.4696905,43.0894308943089,40749.3455325422,106,383.898401420905
"Region2",2001,95,13134727.9829368,36304978.4696905,36.1788617886179,59553.7637554999,89,220.552441267389
"Region2",2002,95,14758121.3291425,36304978.4696905,40.650406504065,57744.7702720993,100,255.57502886583
"Region2",2003,95,13134727.9829368,36304978.4696905,36.1788617886179,79043.3670343403,89,166.171159905555
"Region2",2004,95,13134727.9829368,36304978.4696905,36.1788617886179,72313.260086615,89,181.636507152414
"Region2",2005,95,12691984.3430625,36304978.4696905,34.9593495934959,85436.3217799452,86,148.554901225181
"Region2",2006,95,12101659.4898968,36304978.4696905,33.3333333333333,129808.928598611,82,93.2267111403175
"Region2",2007,95,13725052.8361025,36304978.4696905,37.8048780487805,109112.324630327,93,125.788290943329
"Region2",2008,95,12396821.9164797,36304978.4696905,34.1463414634146,147766.237726939,84,83.8948200020367
"Region2",2009,95,12839565.556354,36304978.4696905,35.3658536585366,143920.699560711,87,89.2127789507982
"Region2",2010,95,9887941.29052548,36304978.4696905,27.2357723577236,290882.797262598,67,33.9928706117297
"Region2",2011,95,12839565.556354,36304978.4696905,35.3658536585366,178278.308007877,87,72.0197858047132
"Region2",2012,95,11806497.063314,36304978.4696905,32.520325203252,270324.130258011,80,43.6753354280481
"Region2",2013,95,13725052.8361025,36304978.4696905,37.8048780487805,200244.816262835,93,68.5413639776194
"Region2",2014,95,12987146.7696454,36304978.4696905,35.7723577235772,185434.594761885,88,70.0362668914184
"Region2",2015,95,15053283.7557254,36304978.4696905,41.4634146341463,137918.283345915,102,109.146397348711
"Region2",2016,95,14167796.4759768,36304978.4696905,39.0243902439024,189721.046361386,96,74.6769889145014
"Region2",2017,95,16086352.2487653,36304978.4696905,44.3089430894309,130439.55014587,109,123.324192936698
"Region2",2018,95,14020215.2626854,36304978.4696905,38.6178861788618,182404.31754028,95,76.8633958436281
"Region2",2019,95,16086352.2487653,36304978.4696905,44.3089430894309,116940.647829102,109,137.559972066121
"Region2",2020,95,14758121.3291425,36304978.4696905,40.650406504065,145772.065426678,100,101.241079941793
"Region2",2021,95,15496027.3955996,36304978.4696905,42.6829268292683,131150.736194667,105,118.154330240273
"Region2",2022,95,15791189.8221825,36304978.4696905,43.4959349593496,125968.041168268,107,125.358699521957
"Region2",2023,95,15053283.7557254,36304978.4696905,41.4634146341463,135036.376277728,102,111.475768016504
